disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
4239,921,5516103.42,4868940.89,647162.53,9782700.76,542152.12,8886143.64,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,2696630.56,90d7c4554c7660a7fead61b01e7b257acb6eb255,2024-11-09T08:49:42.136Z,98b98046-ee76-46a8-bcc6-becb99555420
4240,1538,12733883.73,8548934.33,4184949.4,236392020.31,221728392.43,5278769.79,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,56653008.79,31eb40dbe29d143b9305d83f4ee63cadf55e2564,2024-11-09T08:49:42.136Z,086c7778-75dd-40bc-8b4d-5f7c57849323
4241,28154,89803712.87,77971796.97,11831915.9,125030443.09,47967382.7,72371291.39,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,42098241.18,d8e54da5f1349251a4c1cc25858f3fccacd80757,2024-11-09T08:49:42.136Z,283c98fc-2ed1-433a-936c-4369da2cd087
4245,3304,18608796.05,14700160.84,3908635.21,41749259.72,4067733.96,35721350.55,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,7263432.85,cdcf236868d4e772ae0e804b74445d3fa1667cf3,2024-11-09T08:49:42.136Z,ce95e516-6182-413e-905a-c6949562846d
4248,328,2903899.73,2379211.71,524688.02,5699153.76,2482932.75,3020883.01,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,731668.23,7e29f321860fefbfc13452591df13090f2268422,2024-11-09T08:49:42.136Z,c0c5e221-e042-4786-b8b8-4ee96fee9695
4250,2458,13173843.43,10765588.81,2408254.62,32747311.6,8994305.18,22646310.5,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,10675595.8,78700fa9ceb2a6559bcc9a0aafdbfb3b3fa24ecc,2024-11-09T08:49:42.136Z,8bcc45e2-60ab-46cc-a83e-2b25fdb0b6ab
4254,217,1212227.55,1118316.44,93911.11,11363427.87,487912.15,10779487.83,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,1987927.04,037f444432888822ca082193cba0357562e9f8d0,2024-11-09T08:49:42.136Z,7182a7c3-59a5-46e9-ab16-4813bbe11c54
4263,15950,94361628.91,74284720.15,20076908.76,109435714.28,32100528.44,74211920.84,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,13721518.06,563e85c97f0b6e40d7ec7971d51009df18a552a4,2024-11-09T08:49:42.136Z,12f5986b-552d-44ec-9b6b-1a3087a45b04
4266,1860,21144461.52,18326321.56,2818139.96,34075974.87,9364747.41,22377728.12,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,4808395.86,ec9e9105942b655bc345ad11ebc06bbd6ff67d65,2024-11-09T08:49:42.136Z,e3a36216-114b-481c-9cef-e58abfb4cf17
4268,1402,8141242.5,6596252.97,1544989.53,10328758.13,1182105.48,8830814.65,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,1554897.16,32adc45699458c9358443bc083137e6def6f2f82,2024-11-09T08:49:42.136Z,fdc05c21-7f33-401b-9e56-e8bf60882dee
